Index,Assembly_Seat,Seat_Type,Constituency_Name,BJP,INC,Independent,Strong_Party
1,Dehra,GEN,Hamirpur,16730,19120,22997,
2,Jaswan-Pragpur,GEN,Hamirpur,22658,20869,13405,
3,Dharampur,GEN,Hamirpur,28037,31063,,INC
4,Bhoranj,SC,Hamirpur,24719,24779,,
5,Sujanpur,GEN,Hamirpur,27280,27679,,
6,Hamirpur,GEN,Hamirpur,12794,13017,25916,
7,Barsar,GEN,Hamirpur,,30293,,
8,Nadaun,GEN,Hamirpur,32779,36142,,INC
9,Chintpurni,SC,Hamirpur,27854,32712,,INC
10,Gagret,GEN,Hamirpur,25082,40767,,INC
11,Haroli,GEN,Hamirpur,29504,38652,,INC
12,Una,GEN,Hamirpur,33974,32238,,BJP
13,Kutlehar,GEN,Hamirpur,29057,36636,,INC
14,Jhanduta,SC,Hamirpur,28268,22469,,
15,Ghumarwin,GEN,Hamirpur,29767,35378,,INC
16,Bilaspur,GEN,Hamirpur,30988,30712,,
17,Sri_Naina_Deviji,GEN,Hamirpur,29403,29232,,
18,Churah,SC,Kangra,32095,29453,,BJP
19,Chamba,GEN,Kangra,25001,32783,,INC
20,Dalhousie,GEN,Kangra,33488,23570,,BJP
21,Bhattiyat,GEN,Kangra,24422,25989,,
22,Nurpur,GEN,Kangra,44132,25380,,BJP
23,Indora,SC,Kangra,28547,30797,,
24,Fatehpur,GEN,Kangra,18660,24449,12927,
25,Jawali,GEN,Kangra,35212,38243,,INC
26,Jawalamukhi,GEN,Kangra,21423,27827,,
27,Jaisinghpur,SC,Kangra,25362,28058,,INC
28,Sullah,GEN,Kangra,36670,,29558,
29,Nagrota,GEN,Kangra,26187,42079,,INC
30,Kangra,GEN,Kangra,35239,15405,,BJP
31,Shahpur,GEN,Kangra,24360,36603,,INC
32,Dharamshala,GEN,Kangra,24038,27323,,
33,Palampur,GEN,Kangra,25546,30874,,INC
34,Baijnath,SC,Kangra,25892,29338,,INC
35,Bharmour,ST,Mandi,30336,25164,,BJP
36,Lahaul_and_Spiti,ST,Mandi,8332,9948,,INC
37,Manali,GEN,Mandi,26935,29892,,INC
38,Kullu,GEN,Mandi,26183,30286,,
39,Banjar,GEN,Mandi,25038,20704,,
40,Anni,SC,Mandi,24133,14224,17355,
41,Karsog,SC,Mandi,34512,23978,,BJP
42,Sundernagar,GEN,Mandi,29432,21307,14704,
43,Nachan,SC,Mandi,33200,24244,,
44,Seraj,GEN,Mandi,53562,,,BJP
45,Darang,GEN,Mandi,36572,35954,,
46,Jogindernagar,GEN,Mandi,33782,29443,,
47,Mandi,GEN,Mandi,31303,21297,,BJP
48,Balh,SC,Mandi,31792,30485,,
49,Sarkaghat,GEN,Mandi,27346,25539,,
50,Rampur,SC,Mandi,27830,28397,,
51,Kinnaur,ST,Mandi,13732,20696,,
52,Arki,GEN,Shimla,,30897,26075,
53,Nalagarh,GEN,Shimla,17273,20163,33427,
54,Doon,GEN,Shimla,25227,32038,,INC
55,Solan,SC,Shimla,26231,30089,,INC
56,Kasauli,SC,Shimla,21432,28200,,INC
57,Pachhad,SC,Shimla,21215,17358,13187,
58,Nahan,GEN,Shimla,33652,35291,,INC
59,Sri_Renukaji,SC,Shimla,27782,28642,,
60,Paonta_Sahib,GEN,Shimla,31008,22412,,
61,Shillai,GEN,Shimla,31711,32093,,
62,Chopal,GEN,Shimla,25873,20840,,
63,Theog,GEN,Shimla,14178,19447,13848,
64,Kasumpti,GEN,Shimla,17104,25759,,INC
65,Shimla,GEN,Shimla,12766,15803,,INC
66,Shimla_Rural,GEN,Shimla,21409,35269,,INC
67,Jubbal-Kotkhai,GEN,Shimla,26324,31393,,INC
68,Rohru,SC,Shimla,14988,34327,,INC
