Index,Assembly_Seat,Seat_Type,Constituency_Name,BJP,DMK,AINRC,INC,VCK,AIADMK,CPI,Independent,Strong_Party
1,Mannadipet,GEN,Puducherry,14939,12189,,,,,,,BJP
2,Thirubuvanai,SC,Puducherry,,7644,8238,,,,,10597,
3,Ossudu,SC,Puducherry,14121,,,12241,,,,,
4,Mangalam,GEN,Puducherry,,14221,16972,,,,,,
5,Villianur,GEN,Puducherry,,19653,12703,,,,,,DMK
6,Ozhukarai,GEN,Puducherry,,,11121,,5633,,,11940,
7,Kadirkamam,GEN,Puducherry,,,17775,5529,,,,,AINRC
8,Indira_Nagar,GEN,Puducherry,,,21841,3310,,,,,
9,Thattanchavady,GEN,Puducherry,,,12978,,,,7522,,AINRC
10,Kamaraj_Nagar,GEN,Puducherry,16687,,,9458,,,,,BJP
11,Lawspet,GEN,Puducherry,8891,,,14592,,,,,INC
12,Kalapet,GEN,Puducherry,13277,3769,,,,,,9769,
13,Muthialpet,GEN,Puducherry,,,,4402,,7844,,8778,
14,Raj_Bhavan,GEN,Puducherry,,6364,10096,,,,,,AINRC
15,Oupalam,GEN,Puducherry,,13433,,,,8653,,,
16,Orleampeth,GEN,Puducherry,,7487,,,,,,9580,
17,Nellithope,GEN,Puducherry,11757,11261,,,,,,,
18,Mudaliarpet,GEN,Puducherry,,15151,,,,10972,,,DMK
19,Ariankuppam,GEN,Puducherry,,,17858,11440,,,,,
20,Manavely,GEN,Puducherry,17225,,,9093,,,,,
21,Embalam,SC,Puducherry,,,15624,13384,,,,,AINRC
22,Nettapakkam,SC,Puducherry,,,15978,9340,,,,,AINRC
23,Bahour,GEN,Puducherry,,11789,11578,,,,,,
24,Nedungadu,SC,Puducherry,,,10774,8560,,,,5606,
25,Thirunallar,GEN,Puducherry,8416,,,7731,,,,9796,
26,Karaikal_North,GEN,Puducherry,,,12704,12569,,,,,
27,Karaikal_South,GEN,Puducherry,,17401,,,,5367,,,DMK
28,Neravy_T_R_Pattinam,GEN,Puducherry,8985,14496,,,,,,,
29,Mahe,GEN,Puducherry,,,3532,9744,,,,9444,
30,Yanam,GEN,Puducherry,,,16477,,,,,17132,
