Index,Assembly_Seat,Seat_Type,Constituency_Name,BJP,IPFT,TMP,CPM,INC,AIFB,RSP,CPI,Independent,Strong_Party
25,Radhakishorpur,GEN,Tripura_East,24421,,,,,,17007,,,BJP
31,Ramchandraghat,ST,Tripura_East,,,23143,6941,,,,,6010,TMP
32,Khowai,GEN,Tripura_East,18656,,,19696,,,,,,
33,Asharambari ,ST,Tripura_East,,5510,23838,4420,,,,,,TMP
34,Kalyanpur-Pramodenagar,GEN,Tripura_East,17903,,11290,10981,,,,,,
35,Teliamura ,ST,Tripura_East,16755,,8904,,12603,,,,,
36,Krishanpur ,ST,Tripura_East,13800,,11162,8679,,,,,,
37,Hrishyamukh,GEN,Tripura_East,18568,,,19986,,,,,,
38,Jolaibari ,ST,Tripura_East,,17621,8833,17246,,,,,,
39,Manu ,ST,Tripura_East,15469,,13650,14922,,,,,,
40,Sabroom,GEN,Tripura_East,21405,,,21801,,,,,,
41,Ampinagar ,ST,Tripura_East,9339,,21525,4151,,,,,,TMP
42,Amarpur,GEN,Tripura_East,17989,,8116,13395,,,,,,
43,Karbook ,ST,Tripura_East,12200,,16647,6934,,,,,,
44,Raima Valley ,ST,Tripura_East,15827,,19269,11339,,,,,,
45,Kamalpur,GEN,Tripura_East,18287,,7534,,13027,,,,,
46,Surma ,SC,Tripura_East,17313,,11467,12475,,,,,,
47,Ambassa ,ST,Tripura_East,14824,,15317,13373,,,,,,
48,Karamcherra ,ST,Tripura_East,9901,,20496,,7344,,,,,TMP
49,Chawamanu ,ST,Tripura_East,16644,,13745,7402,,,,,,
50,Pabiachhara ,SC,Tripura_East,19542,,,,19134,,,,,
51,Fatikroy ,SC,Tripura_East,19570,,4298,14458,,,,,,
52,Chandipur,GEN,Tripura_East,17395,,5379,16818,,,,,,
53,Kailashahar,GEN,Tripura_East,15614,,,,25300,,,,,INC
54,Kadamtala-Kurti,GEN,Tripura_East,18120,,,20012,,,,,,
55,Bagbassa,GEN,Tripura_East,18905,,,17444,,,,,,
56,Dharmanagar,GEN,Tripura_East,18684,,,,17586,,,,,
57,Jubarajnagar,GEN,Tripura_East,19090,,,19386,,,,,,
58,Panisagar,GEN,Tripura_East,15745,,7612,13247,,,,,,
59,Pencharthal ,ST,Tripura_East,17781,,9644,9808,,,,,,
1,Simna,ST,Tripura_West,5663,,22757,5811,,,,,,TMP
2,Mohanpur,GEN,Tripura_West,19663,,12278,,10588,,,,,
3,Bamutia,SC,Tripura_West,18093,,,20119,,,,,,
4,Barjala,SC,Tripura_West,19697,,,21486,,,,,,CPI(M)
5,Khayerpur,GEN,Tripura_West,22453,,5147,18343,,,,,,
6,Agartala,GEN,Tripura_West,18273,,,,26435,,,,,
7,Ramnagar,GEN,Tripura_West,17455,,,,,,,,16558,
8,Town_Bordowali,GEN,Tripura_West,19586,,,,18329,,,,,
9,Banamalipur,GEN,Tripura_West,15759,,,,17128,,,,,
10,Majlishpur,GEN,Tripura_West,21349,,6996,16177,,,,,,
11,Mandaibazar,ST,Tripura_West,6603,,28726,7077,,,,,,TMP
12,Takarjala,ST,Tripura_West,,,34717,,,,,,,TMP
13,Pratapgarh,SC,Tripura_West,24336,,,26422,,,,,,
14,Badarghat,SC,Tripura_West,27427,,,,,26138,,,,
15,Kamalasagar,GEN,Tripura_West,19052,,,17308,,,,,,
16,Bishalgarh,GEN,Tripura_West,22314,,,20988,,,,,,
17,Golaghati,ST,Tripura_West,10602,,19800,7606,,,,,,TMP
18,Suryamaninagar,GEN,Tripura_West,24991,,,,23083,,,,,
19,Charilam,GEN,Tripura_West,12799,,13657,,9627,,,,,
20,Boxanagar,GEN,Tripura_West,34146,,,3909,,,,,,BJP
21,Nalchar,SC,Tripura_West,20836,,,18452,,,,,,
22,Sonamura,GEN,Tripura_West,17624,,,20039,,,,,,CPI(M)
23,Dhanpur,GEN,Tripura_West,30017,,,11146,,,,,,BJP
24,Bagma,GEN,Tripura_West,19482,,17399,12613,,,,,,
26,Matarbari,GEN,Tripura_West,25494,,7101,,16453,,,,,BJP
27,Kakraban-Salgarh,SC,Tripura_West,23625,,,18574,,,,,,
28,Rajnagar,SC,Tripura_West,20849,,,19514,,,,,,
29,Belonia,GEN,Tripura_West,19613,,,20016,,,,,,
30,Santirbazar,ST,Tripura_West,18709,,14615,,,,,12063,,
60,Kanchanpur,ST,Tripura_West,,,15413,10522,,,,,10014,
