,Constituency_Name,Seat_Type,YSRCP,TDP,Janasena_Party,Strong_Party
0,amalapuram,sc,485958,446163,255317,YSRCP
1,anakapalli,gen,586226,497034,0,YSRCP
2,anantapur,gen,695208,553780,0,YSRCP
3,aruku,st,562190,338101,0,YSRCP
4,bapatla,sc,598257,582192,0,YSRCP
5,chittoor,sc,686792,549521,0,YSRCP
6,eluru,gen,676809,510884,0,YSRCP
7,guntur,gen,583713,587918,0,TDP
8,hindupur,gen,706602,565854,0,YSRCP
9,kadapa,gen,783499,402773,0,YSRCP
10,kakinada,gen,537630,511892,132648,YSRCP
11,kurnool,gen,603014,454111,0,YSRCP
12,machilipatnam,gen,572850,512612,0,YSRCP
13,nandyal,gen,720888,470769,0,YSRCP
14,narasaraopet,gen,745557,591555,0,YSRCP
15,narsapuram,gen,449234,416558,250802,YSRCP
16,nellore,gen,683830,535259,0,YSRCP
17,ongole,gen,739202,524351,0,YSRCP
18,rajahmundry,gen,582024,460390,155807,YSRCP
19,rajampet,gen,702211,433927,0,YSRCP
20,srikakulam,gen,527891,534544,0,TDP
21,tirupati,sc,722877,494501,0,YSRCP
22,vijayawada,gen,566772,575498,0,TDP
23,visakhapatnam,gen,436906,432492,288874,YSRCP
24,vizianagaram,gen,578418,530382,0,YSRCP
