,Constituency_Name,Seat_Type,BJP,INC,Bhartiya_Tribal_Party,Strong_Party
0,ahmedabad_east,gen,749834,315504,0,BJP
1,ahmedabad_west,sc,641622,320076,0,BJP
2,amreli,gen,529035,327604,0,BJP
3,anand,gen,633097,435379,0,BJP
4,banaskantha,gen,679108,310812,0,BJP
5,bardoli,st,742273,526826,0,BJP
6,bharuch,gen,637795,303581,144083,BJP
7,bhavnagar,gen,661273,331754,0,BJP
8,chhota_udaipur,st,764445,386502,0,BJP
9,dahod,st,561760,434164,0,BJP
10,gandhinagar,gen,894624,337610,0,BJP
11,jamnagar,gen,591588,354784,0,BJP
12,junagadh,gen,547952,397767,0,BJP
13,kachchh,sc,637034,331521,0,BJP
14,kheda,gen,714572,347427,0,BJP
15,mahesana,gen,659525,378006,0,BJP
16,navsari,gen,972739,283071,0,BJP
17,panchmahal,gen,732136,303595,0,BJP
18,patan,gen,633368,439489,0,BJP
19,porbandar,gen,563881,334058,0,BJP
20,rajkot,gen,758645,390238,0,BJP
21,sabarkantha,gen,701984,432997,0,BJP
22,surat,gen,795651,247421,0,BJP
23,surendranagar,gen,631844,354407,0,BJP
24,vadodara,gen,883719,294542,0,BJP
25,valsad,st,771980,418183,0,BJP
