,Constituency_Name,Seat_Type,BJP,INC,CPM,Independent,RSP,KC(M),Kerala_Congress_(Anti-merger_Group),IUML,CPI,Bharath_Dharma_Jana_Sena,Strong_Party
0,alappuzha,gen,187729,435496,445970,0,0,0,0,0,0,0,CPM
1,alathur,sc,0,533815,374847,0,0,0,0,0,0,0,INC
2,attingal,gen,248081,380995,342748,0,0,0,0,0,0,0,INC
3,chalakudy,gen,154159,473444,341170,0,0,0,0,0,0,0,INC
4,ernakulam,gen,137749,491263,322110,0,0,0,0,0,0,0,INC
5,idukki,gen,0,498493,0,327440,0,0,0,0,0,0,INC
6,kannur,gen,0,529741,435182,0,0,0,0,0,0,0,INC
7,kasaragod,gen,176049,474961,434523,0,0,0,0,0,0,0,INC
8,kollam,gen,103339,0,350821,0,499677,0,0,0,0,0,RSP
9,kottayam,gen,0,0,314787,0,0,421046,155135,0,0,0,KC(M)
10,kozhikode,gen,161216,493444,408219,0,0,0,0,0,0,0,INC
11,malappuram,gen,0,0,329720,0,0,0,0,589873,0,0,IUML
12,mavelikkara,sc,0,440415,0,0,0,0,0,0,379277,133546,INC
13,palakkad,gen,218556,399274,387637,0,0,0,0,0,0,0,INC
14,pathanamthitta,gen,297396,380927,336684,0,0,0,0,0,0,0,INC
15,ponnani,gen,110603,0,0,328551,0,0,0,521824,0,0,IUML
16,thiruvananthapuram,gen,316142,416131,0,0,0,0,0,0,258556,0,INC
17,thrissur,gen,293822,415089,0,0,0,0,0,0,321456,0,INC
18,vadakara,gen,0,526755,442092,0,0,0,0,0,0,0,INC
19,wayanad,gen,0,706367,0,0,0,0,0,0,274597,0,INC
