,Constituency_Name,Seat_Type,BJP,INC,BRS,AIMIM,Strong_Party
0,adilabad,st,377374,314238,318814,0,BJP
1,bhongir,gen,0,532795,527576,0,INC
2,chelvella,gen,201960,513831,528148,0,TRS
3,hyderabad,gen,235285,0,0,517471,AIMIM
4,karimnagar,gen,498276,179258,408768,0,BJP
5,khammam,gen,0,399397,567459,0,TRS
6,mahabubabad,st,0,315446,462109,0,TRS
7,mahbubnagar,gen,333573,193631,411402,0,TRS
8,malkajgiri,gen,304282,603748,592829,0,INC
9,medak,gen,201567,279621,596048,0,TRS
10,nagarkurnool,sc,129021,309924,499672,0,TRS
11,nalgonda,gen,0,526028,500346,0,INC
12,nizamabad,gen,480584,0,409709,0,BJP
13,peddapalle,sc,0,346141,441321,0,TRS
14,secundrabad,gen,384780,173229,322666,0,BJP
15,warangal,sc,0,262200,612498,0,TRS
16,zahirabad,gen,138947,428015,434244,0,TRS
